Date	Hour	Tmax(C)	Tmin(C)	ET0	Rain(mm)
2021-06-07	09:30:41	16.06	10.17	0.254	0.0
2021-06-07	09:45:41	16.78	10.17	0.254	0.0
2021-06-07	10:00:42	16.83	10.17	0.254	0.0
2021-06-07	10:15:43	17.61	10.17	0.483	0.0
2021-06-07	10:30:44	18.56	10.17	0.483	0.0
2021-06-07	10:45:45	19.56	10.17	0.483	0.0
2021-06-07	11:00:46	19.56	10.17	0.483	0.0
2021-06-07	11:15:46	19.78	10.17	0.813	0.0
2021-06-07	11:30:47	20.28	10.17	0.813	0.0
2021-06-07	11:45:48	20.28	10.17	0.813	0.0
2021-06-07	12:00:49	20.28	10.17	0.813	0.0
2021-06-07	12:15:49	20.61	10.17	1.295	0.0
2021-06-07	12:30:50	21.0	10.17	1.295	0.0
2021-06-07	12:45:51	21.44	10.17	1.295	0.0
2021-06-07	13:00:52	21.44	10.17	1.295	0.0
2021-06-07	13:15:53	22.0	10.17	1.905	0.0
2021-06-07	13:30:54	22.0	10.17	1.905	0.0
2021-06-07	13:45:56	22.0	10.17	1.905	0.0
2021-06-07	14:00:57	22.0	10.17	1.905	0.0
2021-06-07	14:15:57	22.0	10.17	2.438	0.0
2021-06-07	14:30:58	22.0	10.17	2.438	0.0
2021-06-07	14:46:01	22.0	10.17	2.438	0.0
