"Latitude";"Longitude";"Date Time (YYYY-MM-DD hh:mm:ss)";"Temperature (°C)";"RH (%)";"Radiation (kW/m^2)";"Wind D (°)";"Wind S (km/h)";"Rain (mm)";"ET daily (ET)";"Rain daily (mm)";"Temperature Min (°C)";"Temperature Max (°C)";"Soil moisture_1 (%)";"Soil moisture_2 (%)";"Root depth (%)";"Seedtime (YYYY-MM-DD hh:mm:ss)"
"1.234";"-78.4";"2020-03-25 12:30:07";"20.28";"49";"1.11";"174";"2";"0";"1.27";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 12:30:07"
"1.234";"-78.4";"2020-03-25 12:45:08";"19.28";"47";"0.19";"258";"0";"0";"2.03";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 12:45:08"
"1.234";"-78.4";"2020-03-25 13:00:08";"18.5";"47";"0.1";"184";"2";"0";"2.03";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 13:00:08"
"1.234";"-78.4";"2020-03-25 13:15:08";"17.83";"52";"0.1";"149";"0";"0";"2.03";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 13:15:08"
"1.234";"-78.4";"2020-03-25 13:30:08";"17.06";"57";"0.18";"110";"0";"0";"2.03";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 13:30:08"
"1.234";"-78.4";"2020-03-25 13:45:08";"17.72";"56";"0.41";"110";"0";"0";"2.03";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 13:45:08"
"1.234";"-78.4";"2020-03-25 14:00:08";"18.5";"52";"0.3";"70";"0";"0";"2.03";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 14:00:08"
"1.234";"-78.4";"2020-03-25 14:15:08";"19.28";"49";"0.58";"118";"0";"0";"2.03";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 14:15:08"
"1.234";"-78.4";"2020-03-25 14:30:08";"18.83";"51";"0.21";"175";"0";"0";"2.03";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 14:30:08"
"1.234";"-78.4";"2020-03-25 14:45:08";"18.56";"48";"0.14";"176";"0";"0";"2.29";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 14:45:08"
"1.234";"-78.4";"2020-03-25 15:00:08";"17.17";"56";"0.06";"306";"0";"0";"2.29";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 15:00:08"
"1.234";"-78.4";"2020-03-25 15:15:07";"15.67";"63";"0.08";"2";"3";"0";"2.29";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 15:15:07"
"1.234";"-78.4";"2020-03-25 15:30:08";"14.17";"71";"0.15";"327";"0";"0";"2.29";"0.51";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 15:30:08"
"1.234";"-78.4";"2020-03-25 15:45:07";"14";"71";"0.18";"281";"0";"0";"2.54";"2.54";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 15:45:07"
"1.234";"-78.4";"2020-03-25 16:00:07";"13.89";"75";"0.1";"281";"0";"0";"2.54";"2.54";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 16:00:07"
"1.234";"-78.4";"2020-03-25 16:15:06";"13.72";"76";"0.08";"281";"0";"0";"2.54";"2.54";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 16:15:06"
"1.234";"-78.4";"2020-03-25 16:30:06";"14";"74";"0.1";"281";"0";"0";"2.54";"2.54";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 16:30:06"
"1.234";"-78.4";"2020-03-25 16:45:07";"14.22";"74";"0.04";"281";"0";"0";"2.54";"2.54";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 16:45:07"
"1.234";"-78.4";"2020-03-25 17:00:07";"14.22";"77";"0";"281";"0";"0";"2.54";"2.54";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 17:00:07"
"1.234";"-78.4";"2020-03-25 22:00:07";"11.06";"100";"0";"15";"0";"0";"2.54";"2.54";"10.94";"20.28";"35.1";"40.2";"123";"2020-03-25 22:00:07"
"1.234";"-78.4";"2020-03-25 22:15:06";"11";"100";"0";"15";"0";"0";"2.54";"2.54";"10.94";"20.28";"35.1";"40.2";"123";"2020-03-25 22:15:06"
"1.234";"-78.4";"2020-03-25 22:30:07";"11";"100";"0";"15";"0";"0";"2.54";"2.54";"10.94";"20.28";"35.1";"40.2";"123";"2020-03-25 22:30:07"
"1.234";"-78.4";"2020-03-25 22:45:07";"10.83";"100";"0";"15";"0";"0";"2.54";"2.54";"10.83";"20.28";"35.1";"40.2";"123";"2020-03-25 22:45:07"
"1.234";"-78.4";"2020-03-25 23:00:06";"10.94";"100";"0";"15";"0";"0";"2.54";"2.54";"10.83";"20.28";"35.1";"40.2";"123";"2020-03-25 23:00:06"
"1.234";"-78.4";"2020-03-25 23:15:07";"11";"100";"0";"15";"0";"0";"2.54";"2.54";"10.83";"20.28";"35.1";"40.2";"123";"2020-03-25 23:15:07"
"1.234";"-78.4";"2020-03-25 23:30:06";"11";"100";"0";"15";"0";"0";"2.54";"2.54";"10.83";"20.28";"35.1";"40.2";"123";"2020-03-25 23:30:06"
"1.234";"-78.4";"2020-03-25 23:45:07";"11.17";"100";"0";"15";"0";"0";"2.54";"2.54";"10.83";"20.28";"35.1";"40.2";"123";"2020-03-25 23:45:07"
"1.234";"-78.4";"2020-03-26 00:00:07";"11.17";"100";"0";"15";"0";"0";"2.54";"2.54";"10.83";"20.28";"35.1";"40.2";"123";"2020-03-26 00:00:07"
"1.234";"-78.4";"2020-03-26 00:15:07";"11.06";"100";"0";"15";"0";"0";"2.54";"2.54";"10.83";"20.28";"35.1";"40.2";"123";"2020-03-26 00:15:07"
"1.234";"-78.4";"2020-03-26 00:30:07";"10.78";"100";"0";"15";"0";"0";"2.54";"2.54";"10.78";"20.28";"35.1";"40.2";"123";"2020-03-26 00:30:07"
"1.234";"-78.4";"2020-03-26 00:45:06";"10.56";"100";"0";"15";"0";"0";"2.54";"2.54";"10.56";"20.28";"35.1";"40.2";"123";"2020-03-26 00:45:06"
"1.234";"-78.4";"2020-03-26 01:00:07";"10.28";"100";"0";"15";"0";"0";"2.54";"2.54";"10.22";"20.28";"35.1";"40.2";"123";"2020-03-26 01:00:07"
"1.234";"-78.4";"2020-03-26 01:01:40";"10.22";"100";"0";"15";"0";"0";"2.54";"2.54";"10.17";"20.28";"35.1";"40.2";"123";"2020-03-26 01:01:40"
"1.234";"-78.4";"2020-03-26 01:04:08";"10.17";"100";"0";"15";"0";"0";"2.54";"2.54";"10.17";"20.28";"35.1";"40.2";"123";"2020-03-26 01:04:08"
"1.234";"-78.4";"2020-03-26 01:15:07";"10.06";"100";"0";"15";"0";"0";"2.54";"2.54";"10";"20.28";"35.1";"40.2";"123";"2020-03-26 01:15:07"
"1.234";"-78.4";"2020-03-26 01:30:07";"10";"100";"0";"15";"0";"0";"2.54";"2.54";"9.94";"20.28";"35.1";"40.2";"123";"2020-03-26 01:30:07"
"1.234";"-78.4";"2020-03-26 01:45:06";"10";"100";"0";"15";"0";"0";"2.54";"2.54";"9.89";"20.28";"35.1";"40.2";"123";"2020-03-26 01:45:06"
"1.234";"-78.4";"2020-03-26 02:00:07";"9.67";"100";"0";"15";"0";"0";"2.54";"2.54";"9.67";"20.28";"35.1";"40.2";"123";"2020-03-26 02:00:07"
"1.234";"-78.4";"2020-03-26 02:15:07";"9.67";"100";"0";"15";"0";"0";"2.54";"2.54";"9.61";"20.28";"35.1";"40.2";"123";"2020-03-26 02:15:07"
"1.234";"-78.4";"2020-03-26 02:30:07";"9.72";"100";"0";"15";"0";"0";"2.54";"2.54";"9.61";"20.28";"35.1";"40.2";"123";"2020-03-26 02:30:07"
"1.234";"-78.4";"2020-03-26 02:45:06";"9.67";"100";"0";"15";"0";"0";"2.54";"2.54";"9.61";"20.28";"35.1";"40.2";"123";"2020-03-26 02:45:06"
"1.234";"-78.4";"2020-03-26 03:00:07";"9.5";"100";"0";"15";"0";"0";"2.54";"2.54";"9.44";"20.28";"35.1";"40.2";"123";"2020-03-26 03:00:07"
"1.234";"-78.4";"2020-03-26 03:15:07";"9.78";"100";"0";"15";"0";"0";"2.54";"2.54";"9.44";"20.28";"35.1";"40.2";"123";"2020-03-26 03:15:07"
"1.234";"-78.4";"2020-03-26 03:30:07";"10.17";"100";"0";"15";"0";"0";"2.54";"2.54";"9.44";"20.28";"35.1";"40.2";"123";"2020-03-26 03:30:07"
"1.234";"-78.4";"2020-03-26 03:45:06";"10.33";"100";"0";"15";"0";"0";"2.54";"2.54";"9.44";"20.28";"35.1";"40.2";"123";"2020-03-26 03:45:06"
"1.234";"-78.4";"2020-03-26 04:00:07";"10.44";"100";"0";"15";"0";"0";"2.54";"2.54";"9.44";"20.28";"35.1";"40.2";"123";"2020-03-26 04:00:07"
"1.234";"-78.4";"2020-03-26 04:15:07";"10.61";"100";"0";"15";"0";"0";"2.54";"2.54";"9.44";"20.28";"35.1";"40.2";"123";"2020-03-26 04:15:07"
"1.234";"-78.4";"2020-03-26 10:04:56";"15.56";"74";"0.88";"295";"0";"0";"2.54";"2.54";"9.44";"20.28";"35.1";"40.2";"123";"2020-03-26 10:04:56"
"1.234";"-78.4";"2020-03-26 11:12:08";"17.17";"63";"1.01";"273";"0";"0";"0.76";"0";"12.33";"17.17";"35.1";"40.2";"123";"2020-03-26 11:12:08"
"1.234";"-78.4";"2020-03-26 11:15:07";"17.33";"61";"1.09";"302";"0";"0";"0.76";"0";"12.33";"17.33";"35.1";"40.2";"123";"2020-03-26 11:15:07"
"1.234";"-78.4";"2020-03-26 11:30:07";"17.56";"58";"1.06";"302";"0";"0";"0.76";"0";"12.33";"17.61";"35.1";"40.2";"123";"2020-03-26 11:30:07"
"1.234";"-78.4";"2020-03-26 11:45:08";"18.28";"53";"1.01";"258";"0";"0";"0.76";"0";"12.33";"18.28";"35.1";"40.2";"123";"2020-03-26 11:45:08"
"1.234";"-78.4";"2020-03-26 12:00:08";"18.67";"53";"1.01";"258";"0";"0";"1.52";"0";"12.33";"18.67";"35.1";"40.2";"123";"2020-03-26 12:00:08"
"1.234";"-78.4";"2020-03-26 12:15:07";"19.28";"58";"1.05";"295";"0";"0";"1.52";"0";"12.33";"19.28";"35.1";"40.2";"123";"2020-03-26 12:15:07"
"1.234";"-78.4";"2020-03-26 12:30:07";"19.78";"53";"1.04";"263";"0";"0";"1.52";"0";"12.33";"19.83";"35.1";"40.2";"123";"2020-03-26 12:30:07"
"1.234";"-78.4";"2020-03-26 12:45:08";"19.5";"51";"1.02";"240";"0";"0";"1.52";"0";"12.33";"19.89";"35.1";"40.2";"123";"2020-03-26 12:45:08"
"1.234";"-78.4";"2020-03-26 13:00:08";"19.78";"52";"0.99";"227";"2";"0";"1.52";"0";"12.33";"19.89";"35.1";"40.2";"123";"2020-03-26 13:00:08"
"1.234";"-78.4";"2020-03-26 13:15:07";"20.39";"55";"0.97";"253";"0";"0";"2.03";"0";"12.33";"20.39";"35.1";"40.2";"123";"2020-03-26 13:15:07"
"1.234";"-78.4";"2020-03-26 13:30:07";"20.83";"53";"0.95";"261";"0";"0";"2.03";"0";"12.33";"20.89";"35.1";"40.2";"123";"2020-03-26 13:30:07"
"1.234";"-78.4";"2020-03-26 13:45:08";"20.61";"50";"0.92";"234";"6";"0";"2.03";"0";"12.33";"20.89";"35.1";"40.2";"123";"2020-03-26 13:45:08"
"1.234";"-78.4";"2020-03-26 14:00:08";"20.78";"53";"0.92";"323";"0";"0";"2.79";"0";"12.33";"20.89";"35.1";"40.2";"123";"2020-03-26 14:00:08"
"1.234";"-78.4";"2020-03-26 14:15:08";"21.22";"48";"0.89";"312";"0";"0";"2.79";"0";"12.33";"21.28";"35.1";"40.2";"123";"2020-03-26 14:15:08"
"1.234";"-78.4";"2020-03-26 14:30:07";"21.83";"47";"0.89";"263";"0";"0";"2.79";"0";"12.33";"21.83";"35.1";"40.2";"123";"2020-03-26 14:30:07"
"1.234";"-78.4";"2020-03-26 14:45:08";"22";"44";"0.88";"267";"0";"0";"2.79";"0";"12.33";"22.06";"35.1";"40.2";"123";"2020-03-26 14:45:08"
"1.234";"-78.4";"2020-03-26 15:00:14";"21";"45";"0.21";"268";"1";"0";"3.3";"0";"12.33";"22.17";"35.1";"40.2";"123";"2020-03-26 15:00:14"
"1.234";"-78.4";"2020-03-26 15:15:13";"18.72";"50";"0.09";"58";"3";"0";"3.3";"0";"12.33";"22.17";"35.1";"40.2";"123";"2020-03-26 15:15:13"
"1.234";"-78.4";"2020-03-26 15:30:08";"16.56";"56";"0.1";"105";"8";"0";"3.3";"0";"12.33";"22.17";"35.1";"40.2";"123";"2020-03-26 15:30:08"
"1.234";"-78.4";"2020-03-26 15:45:08";"15.94";"59";"0.19";"116";"0";"0";"3.3";"0";"12.33";"22.17";"35.1";"40.2";"123";"2020-03-26 15:45:08"
"1.234";"-78.4";"2020-03-26 16:00:08";"17.22";"54";"0.18";"136";"0";"0";"3.3";"0";"12.33";"22.17";"35.1";"40.2";"123";"2020-03-26 16:00:08"
"1.234";"-78.4";"2020-03-26 16:15:08";"16.72";"53";"0.08";"218";"1";"0";"3.3";"0";"12.33";"22.17";"35.1";"40.2";"123";"2020-03-26 16:15:08"
"1.234";"-78.4";"2020-03-26 16:30:08";"14.89";"64";"0.04";"47";"7";"6.1";"3.3";"4.57";"12.33";"22.17";"35.1";"40.2";"123";"2020-03-26 16:30:08"
"1.234";"-78.4";"2020-03-26 16:45:08";"12.83";"80";"0.04";"49";"0";"0";"3.3";"6.1";"12.33";"22.17";"35.1";"40.2";"123";"2020-03-26 16:45:08"
"1.234";"-78.4";"2020-03-26 17:00:08";"12.56";"84";"0";"49";"0";"0";"3.3";"6.1";"12.33";"22.17";"35.1";"40.2";"123";"2020-03-26 17:00:08"
"1.234";"-78.4";"2020-03-26 17:30:14";"12.44";"91";"0.07";"50";"0";"0.25";"3.56";"6.6";"12.33";"22.17";"35.1";"40.2";"123";"2020-03-26 17:30:14"
"1.234";"-78.4";"2020-03-26 17:45:08";"12.83";"94";"0.03";"50";"0";"0";"3.56";"6.6";"12.33";"22.17";"35.1";"40.2";"123";"2020-03-26 17:45:08"
"1.234";"-78.4";"2020-03-26 18:00:08";"12.78";"97";"0";"49";"0";"0";"3.56";"6.6";"12.33";"22.17";"35.1";"40.2";"123";"2020-03-26 18:00:08"
"1.234";"-78.4";"2020-03-26 18:15:07";"12.61";"96";"0";"49";"0";"0";"3.56";"6.6";"12.33";"22.17";"35.1";"40.2";"123";"2020-03-26 18:15:07"
"1.234";"-78.4";"2020-03-26 18:30:08";"12.39";"91";"0";"49";"0";"0";"3.56";"6.6";"12.33";"22.17";"35.1";"40.2";"123";"2020-03-26 18:30:08"
"1.234";"-78.4";"2020-03-26 18:45:26";"11.94";"91";"0";"49";"0";"0";"3.56";"6.6";"11.94";"22.17";"35.1";"40.2";"123";"2020-03-26 18:45:26"
"1.234";"-78.4";"2020-03-26 19:00:09";"11.5";"93";"0";"49";"0";"0";"3.56";"6.6";"11.44";"22.17";"35.1";"40.2";"123";"2020-03-26 19:00:09"
"1.234";"-78.4";"2020-03-26 19:15:07";"11.06";"96";"0";"49";"0";"0";"3.56";"6.6";"11.06";"22.17";"35.1";"40.2";"123";"2020-03-26 19:15:07"
"1.234";"-78.4";"2020-03-26 19:30:14";"10.72";"96";"0";"49";"0";"0";"3.56";"6.6";"10.72";"22.17";"35.1";"40.2";"123";"2020-03-26 19:30:14"
"1.234";"-78.4";"2020-03-26 19:45:08";"10.5";"98";"0";"50";"0";"0";"3.56";"6.6";"10.44";"22.17";"35.1";"40.2";"123";"2020-03-26 19:45:08"
"1.234";"-78.4";"2020-03-26 20:00:09";"10.44";"98";"0";"50";"0";"0";"3.56";"6.6";"10.39";"22.17";"35.1";"40.2";"123";"2020-03-26 20:00:09"
"1.234";"-78.4";"2020-03-26 20:15:08";"10.06";"97";"0";"50";"0";"0";"3.56";"6.6";"9.94";"22.17";"35.1";"40.2";"123";"2020-03-26 20:15:08"
"1.234";"-78.4";"2020-03-26 20:30:08";"9.78";"98";"0";"50";"0";"0";"3.56";"6.6";"9.72";"22.17";"35.1";"40.2";"123";"2020-03-26 20:30:08"
"1.234";"-78.4";"2020-03-26 20:45:13";"9.61";"98";"0";"50";"0";"0";"3.56";"6.6";"9.61";"22.17";"35.1";"40.2";"123";"2020-03-26 20:45:13"
"1.234";"-78.4";"2020-03-26 21:00:14";"9.39";"99";"0";"50";"0";"0";"3.56";"6.6";"9.39";"22.17";"35.1";"40.2";"123";"2020-03-26 21:00:14"
"1.234";"-78.4";"2020-03-26 21:15:07";"9.17";"99";"0";"50";"0";"0";"3.56";"6.6";"9.11";"22.17";"35.1";"40.2";"123";"2020-03-26 21:15:07"
"1.234";"-78.4";"2020-03-26 21:30:08";"9.11";"100";"0";"50";"0";"0";"3.56";"6.6";"8.78";"22.17";"35.1";"40.2";"123";"2020-03-26 21:30:08"
"1.234";"-78.4";"2020-03-26 21:45:09";"8.72";"100";"0";"50";"0";"0";"3.56";"6.6";"8.61";"22.17";"35.1";"40.2";"123";"2020-03-26 21:45:09"
"1.234";"-78.4";"2020-03-26 22:00:08";"8.67";"100";"0";"50";"0";"0";"3.56";"6.6";"8.33";"22.17";"35.1";"40.2";"123";"2020-03-26 22:00:08"
"1.234";"-78.4";"2020-03-26 22:15:08";"8.33";"100";"0";"50";"0";"0";"3.56";"6.6";"8.28";"22.17";"35.1";"40.2";"123";"2020-03-26 22:15:08"
"1.234";"-78.4";"2020-03-26 22:30:08";"8.17";"100";"0";"50";"0";"0";"3.56";"6.6";"7.89";"22.17";"35.1";"40.2";"123";"2020-03-26 22:30:08"
"1.234";"-78.4";"2020-03-26 22:45:07";"8.28";"100";"0";"50";"0";"0";"3.56";"6.6";"7.89";"22.17";"35.1";"40.2";"123";"2020-03-26 22:45:07"
"1.234";"-78.4";"2020-03-26 23:00:08";"7.78";"100";"0";"50";"0";"0";"3.56";"6.6";"7.72";"22.17";"35.1";"40.2";"123";"2020-03-26 23:00:08"
"1.234";"-78.4";"2020-03-26 23:15:08";"8";"100";"0";"50";"0";"0";"3.56";"6.6";"7.56";"22.17";"35.1";"40.2";"123";"2020-03-26 23:15:08"
"1.234";"-78.4";"2020-03-26 23:30:08";"7.89";"100";"0";"50";"0";"0";"3.56";"6.6";"7.56";"22.17";"35.1";"40.2";"123";"2020-03-26 23:30:08"
"1.234";"-78.4";"2020-03-26 23:45:07";"7.33";"100";"0";"50";"0";"0";"3.56";"6.6";"7.33";"22.17";"35.1";"40.2";"123";"2020-03-26 23:45:07"
"1.234";"-78.4";"2020-03-27 00:00:14";"7.28";"100";"0";"50";"0";"0";"0";"0";"7.28";"7.33";"35.1";"40.2";"123";"2020-03-27 00:00:14"
"1.234";"-78.4";"2020-03-27 00:15:08";"7.44";"100";"0";"50";"0";"0";"0";"0";"7.28";"7.5";"35.1";"40.2";"123";"2020-03-27 00:15:08"
"1.234";"-78.4";"2020-03-27 00:30:07";"7.11";"100";"0";"50";"0";"0";"0";"0";"7.11";"7.5";"35.1";"40.2";"123";"2020-03-27 00:30:07"
"1.234";"-78.4";"2020-03-27 00:45:08";"7.11";"100";"0";"50";"0";"0";"0";"0";"7.06";"7.5";"35.1";"40.2";"123";"2020-03-27 00:45:08"
"1.234";"-78.4";"2020-03-27 01:00:08";"7.28";"100";"0";"50";"0";"0";"0";"0";"7.06";"7.5";"35.1";"40.2";"123";"2020-03-27 01:00:08"
"1.234";"-78.4";"2020-03-27 01:15:08";"7.11";"100";"0";"49";"0";"0";"0";"0";"7.06";"7.5";"35.1";"40.2";"123";"2020-03-27 01:15:08"
"1.234";"-78.4";"2020-03-27 01:30:08";"6.89";"100";"0";"49";"0";"0";"0";"0";"6.78";"7.5";"35.1";"40.2";"123";"2020-03-27 01:30:08"
"1.234";"-78.4";"2020-03-27 01:45:08";"6.56";"100";"0";"49";"0";"0";"0";"0";"6.5";"7.5";"35.1";"40.2";"123";"2020-03-27 01:45:08"
"1.234";"-78.4";"2020-03-27 02:00:08";"6.83";"100";"0";"49";"0";"0";"0";"0";"6.5";"7.5";"35.1";"40.2";"123";"2020-03-27 02:00:08"
"1.234";"-78.4";"2020-03-27 02:15:08";"6.94";"100";"0";"49";"0";"0";"0";"0";"6.5";"7.5";"35.1";"40.2";"123";"2020-03-27 02:15:08"
"1.234";"-78.4";"2020-03-27 02:30:08";"6.22";"100";"0";"50";"0";"0";"0";"0";"6.22";"7.5";"35.1";"40.2";"123";"2020-03-27 02:30:08"
"1.234";"-78.4";"2020-03-27 02:45:08";"6.5";"100";"0";"49";"0";"0";"0";"0.25";"6.22";"7.5";"35.1";"40.2";"123";"2020-03-27 02:45:08"
"1.234";"-78.4";"2020-03-27 03:00:08";"7.06";"100";"0";"50";"0";"0";"0";"0.25";"6.22";"7.5";"35.1";"40.2";"123";"2020-03-27 03:00:08"
"1.234";"-78.4";"2020-03-27 03:15:07";"7.17";"100";"0";"50";"0";"0";"0";"0.25";"6.22";"7.5";"35.1";"40.2";"123";"2020-03-27 03:15:07"
"1.234";"-78.4";"2020-03-27 03:30:07";"7.11";"100";"0";"50";"0";"0";"0";"0.25";"6.22";"7.5";"35.1";"40.2";"123";"2020-03-27 03:30:07"
"1.234";"-78.4";"2020-03-27 03:45:08";"7.06";"100";"0";"49";"0";"0";"0";"0.25";"6.22";"7.5";"35.1";"40.2";"123";"2020-03-27 03:45:08"
"1.234";"-78.4";"2020-03-27 04:00:08";"7";"100";"0";"49";"0";"0";"0";"0.25";"6.22";"7.5";"35.1";"40.2";"123";"2020-03-27 04:00:08"
"1.234";"-78.4";"2020-03-27 04:15:08";"7.28";"100";"0";"49";"0";"0";"0";"0.25";"6.22";"7.5";"35.1";"40.2";"123";"2020-03-27 04:15:08"
"1.234";"-78.4";"2020-03-27 04:30:13";"7.17";"100";"0";"49";"0";"0";"0";"0.25";"6.22";"7.5";"35.1";"40.2";"123";"2020-03-27 04:30:13"
"1.234";"-78.4";"2020-03-27 04:45:08";"7.44";"100";"0";"50";"0";"0";"0";"0.25";"6.22";"7.5";"35.1";"40.2";"123";"2020-03-27 04:45:08"
"1.234";"-78.4";"2020-03-27 05:00:14";"7.78";"100";"0";"50";"0";"0";"0";"0.25";"6.22";"7.83";"35.1";"40.2";"123";"2020-03-27 05:00:14"
"1.234";"-78.4";"2020-03-27 05:15:07";"7.56";"100";"0";"50";"0";"0";"0";"0.25";"6.22";"7.89";"35.1";"40.2";"123";"2020-03-27 05:15:07"
"1.234";"-78.4";"2020-03-27 05:30:13";"7.61";"100";"0";"50";"0";"0";"0";"0.25";"6.22";"7.89";"35.1";"40.2";"123";"2020-03-27 05:30:13"
"1.234";"-78.4";"2020-03-27 05:45:08";"7.61";"100";"0";"50";"0";"0";"0";"0.25";"6.22";"7.89";"35.1";"40.2";"123";"2020-03-27 05:45:08"
"1.234";"-78.4";"2020-03-27 06:00:08";"7.67";"100";"0";"50";"0";"0";"0";"0.25";"6.22";"7.89";"35.1";"40.2";"123";"2020-03-27 06:00:08"
"1.234";"-78.4";"2020-03-27 06:15:08";"7.83";"100";"0";"50";"0";"0";"0";"0.25";"6.22";"7.89";"35.1";"40.2";"123";"2020-03-27 06:15:08"
"1.234";"-78.4";"2020-03-27 06:30:08";"8";"100";"0";"50";"0";"0";"0";"0.25";"6.22";"8.06";"35.1";"40.2";"123";"2020-03-27 06:30:08"
"1.234";"-78.4";"2020-03-27 06:45:08";"8.28";"100";"0.03";"50";"0";"0";"0";"0.25";"6.22";"8.28";"35.1";"40.2";"123";"2020-03-27 06:45:08"
"1.234";"-78.4";"2020-03-27 07:00:26";"8.22";"100";"0.04";"49";"0";"0";"0";"0.25";"6.22";"8.33";"35.1";"40.2";"123";"2020-03-27 07:00:26"
"1.234";"-78.4";"2020-03-27 07:15:08";"8.5";"100";"0.06";"49";"0";"0";"0";"0.25";"6.22";"8.5";"35.1";"40.2";"123";"2020-03-27 07:15:08"
"1.234";"-78.4";"2020-03-27 07:30:07";"8.61";"100";"0.08";"49";"0";"0";"0";"0.25";"6.22";"8.61";"35.1";"40.2";"123";"2020-03-27 07:30:07"
"1.234";"-78.4";"2020-03-27 07:45:08";"8.94";"100";"0.11";"49";"0";"0";"0";"0.25";"6.22";"9";"35.1";"40.2";"123";"2020-03-27 07:45:08"
"1.234";"-78.4";"2020-03-27 08:00:08";"9.33";"100";"0.12";"49";"0";"0";"0";"0.25";"6.22";"9.44";"35.1";"40.2";"123";"2020-03-27 08:00:08"
"1.234";"-78.4";"2020-03-27 08:15:07";"9.61";"100";"0.12";"49";"0";"0";"0";"0.25";"6.22";"9.61";"35.1";"40.2";"123";"2020-03-27 08:15:07"
"1.234";"-78.4";"2020-03-27 08:30:07";"9.72";"100";"0.19";"49";"0";"0";"0";"0.25";"6.22";"9.83";"35.1";"40.2";"123";"2020-03-27 08:30:07"
"1.234";"-78.4";"2020-03-27 08:45:08";"10.11";"100";"0.23";"49";"0";"0";"0";"0.25";"6.22";"10.17";"35.1";"40.2";"123";"2020-03-27 08:45:08"
"1.234";"-78.4";"2020-03-27 09:00:08";"10.28";"100";"0.27";"49";"0";"0";"0";"0.25";"6.22";"10.39";"35.1";"40.2";"123";"2020-03-27 09:00:08"
"1.234";"-78.4";"2020-03-27 09:15:08";"10.83";"100";"0.38";"49";"0";"0";"0";"0.25";"6.22";"10.89";"35.1";"40.2";"123";"2020-03-27 09:15:08"
"1.234";"-78.4";"2020-03-27 09:30:08";"11.11";"100";"0.7";"49";"0";"0";"0";"0.25";"6.22";"11.11";"35.1";"40.2";"123";"2020-03-27 09:30:08"
"1.234";"-78.4";"2020-03-27 09:45:07";"12.06";"100";"0.82";"49";"0";"0";"0";"0.25";"6.22";"12.06";"35.1";"40.2";"123";"2020-03-27 09:45:07"
"1.234";"-78.4";"2020-03-27 10:00:14";"13";"94";"0.87";"49";"0";"0";"0.51";"0.25";"6.22";"13.11";"35.1";"40.2";"123";"2020-03-27 10:00:14"
"1.234";"-78.4";"2020-03-27 10:15:08";"14";"83";"0.9";"49";"0";"0";"0.51";"0.25";"6.22";"14.06";"35.1";"40.2";"123";"2020-03-27 10:15:08"
"1.234";"-78.4";"2020-03-27 10:30:08";"14.78";"74";"0.94";"42";"0";"0";"0.51";"0.25";"6.22";"14.89";"35.1";"40.2";"123";"2020-03-27 10:30:08"
"1.234";"-78.4";"2020-03-27 10:45:07";"15.94";"68";"0.97";"42";"0";"0";"0.51";"0.25";"6.22";"16";"35.1";"40.2";"123";"2020-03-27 10:45:07"
"1.234";"-78.4";"2020-03-27 11:00:09";"16.83";"66";"0.99";"42";"0";"0";"0.51";"0.25";"6.22";"16.89";"35.1";"40.2";"123";"2020-03-27 11:00:09"
"1.234";"-78.4";"2020-03-27 11:15:07";"17.28";"64";"1";"42";"0";"0";"0.51";"0.25";"6.22";"17.28";"35.1";"40.2";"123";"2020-03-27 11:15:07"
"1.234";"-78.4";"2020-03-27 11:30:08";"17.78";"54";"1.05";"42";"0";"0";"1.02";"0.25";"6.22";"17.78";"35.1";"40.2";"123";"2020-03-27 11:30:08"
"1.234";"-78.4";"2020-03-27 11:45:08";"18.22";"57";"1.05";"6";"0";"0";"1.02";"0.25";"6.22";"18.22";"35.1";"40.2";"123";"2020-03-27 11:45:08"
"1.234";"-78.4";"2020-03-27 12:00:08";"18.28";"51";"1.03";"303";"0";"0";"1.02";"0.25";"6.22";"18.61";"35.1";"40.2";"123";"2020-03-27 12:00:08"
