Date	Tmax(C)	Tmin(C)	ET0	Rain(mm)	Date_captura
2020-06-01	23.00	16.00	2.50	1.50	2020-05-31
2020-06-02	18.00	14.00	2.70	0	2020-06-01
2020-06-03	20.00	14.00	3.90	0	2020-06-02
2020-06-04	28.00	14.00	4.60	0	2020-06-03
2020-06-05	31.00	17.00	4.80	3.50	2020-06-04
2020-06-06	27.00	16.00	4.60	2.00	2020-06-05
2020-06-07	17.00	14.00	3.60	0	2020-06-06
2020-06-08	18.00	13.00	4.50	4.70	2020-06-07
2020-06-09	17.00	13.00	4.80	0	2020-06-08
2020-06-10	21.00	10.00	4.40	36.00	2020-06-09
2020-06-11	26.00	12.00	4.70	5.20	2020-06-10
2020-06-12	25.00	14.00	4.30	0	2020-06-11
2020-06-13	23.00	14.00	4.00	2.00	2020-06-12
2020-06-14	18.00	14.00	3.10	5.30	2020-06-13
2020-06-15	18.00	14.00	3.80	1.20	2020-06-14
2020-06-16	19.00	15.00	3.00	15.70	2020-06-15
2020-06-17	19.00	14.00	3.70	0	2020-06-16
2020-06-18	19.00	14.00	4.10	1.20	2020-06-17
2020-06-19	26.00	12.00	4.80	0	2020-06-18
2020-06-20	29.00	14.00	4.90	8.40	2020-06-19
2020-06-21	22.00	14.00	4.40	0	2020-06-20
2020-06-22	21.00	14.00	3.30	0	2020-06-21
2020-06-23	19.00	15.00	3.60	0	2020-06-22
2020-06-24	22.00	15.00	4.10	0	2020-06-23
2020-06-25	22.00	14.00	4.00	0	2020-06-24
2020-06-26	22.00	15.00	3.50	1.20	2020-06-25
2020-06-27	20.00	15.00	4.10	0	2020-06-26
2020-06-28	21.00	14.00	4.10	1.30	2020-06-27
2020-06-29	22.00	14.00	3.70	0	2020-06-28
2020-06-30	19.00	14.00	4.40	0	2020-06-29
2020-07-01	22.00	13.00	4.20	6.70	2020-06-30
2020-07-02	26.00	14.00	4.50	13.00	2020-07-01
2020-07-03	21.00	13.00	4.10	4.10	2020-07-02
2020-07-04	20.00	13.00	4.10	2.00	2020-07-03
2020-07-05	19.00	13.00	4.00	0.80	2020-07-04
2020-07-06	25.00	12.00	4.20	5.90	2020-07-05
2020-07-07	21.00	14.00	4.30	2.80	2020-07-06
2020-07-08	18.00	13.00	4.80	0	2020-07-07
2020-07-09	21.00	13.00	4.10	0	2020-07-08
2020-07-10	22.00	13.00	4.10	0	2020-07-09
2020-07-11	24.00	13.00	3.90	0	2020-07-10
2020-07-12	22.00	14.00	3.50	12.40	2020-07-11
2020-07-13	24.00	13.00	4.00	1.00	2020-07-12
2020-07-14	26.00	14.00	4.10	0	2020-07-13
2020-07-15	19.00	15.00	3.60	1.70	2020-07-14
2020-07-16	21.00	14.00	3.60	7.00	2020-07-15
2020-07-17	22.00	15.00	3.60	5.00	2020-07-16
2020-07-18	19.00	15.00	3.40	0	2020-07-17
2020-07-19	21.00	15.00	3.50	0	2020-07-18
2020-07-20	22.00	15.00	3.40	0	2020-07-19
2020-07-21	20.00	15.00	2.90	5.40	2020-07-20
2020-07-22	18.00	14.00	2.80	0	2020-07-21
2020-07-23	19.00	14.00	2.80	0	2020-07-22
2020-07-24	21.00	15.00	3.20	2.00	2020-07-23
2020-07-25	21.00	15.00	3.00	0	2020-07-24
2020-07-26	18.00	14.00	3.10	2.00	2020-07-25
2020-07-27	22.00	15.00	3.60	0	2020-07-26
2020-07-28	20.00	15.00	3.40	0	2020-07-27
2020-07-29	20.00	14.00	3.30	2.00	2020-07-28
2020-07-30	19.00	14.00	3.00	3.40	2020-07-29
2020-07-31	19.00	14.00	2.80	0	2020-07-30
2020-08-01	19.00	14.00	2.80	0	2020-07-31
2020-08-02	20.00	14.00	2.40	0	2020-08-01
2020-08-03	20.00	14.00	3.20	1.00	2020-08-02
2020-08-04	20.00	14.00	3.20	0	2020-08-03
2020-08-05	23.00	15.00	3.60	0	2020-08-04
2020-08-06	18.00	15.00	3.50	1.50	2020-08-05
2020-08-07	17.00	14.00	1.20	1.00	2020-08-06
2020-08-08	21.00	15.00	3.40	0	2020-08-07
2020-08-09	23.00	15.00	3.60	0	2020-08-08
2020-08-10	25.00	15.00	3.90	0	2020-08-09
2020-08-11	23.00	15.00	3.70	0	2020-08-10
2020-08-12	21.00	14.00	3.70	0	2020-08-11
2020-08-13	20.00	15.00	3.30	0	2020-08-12
2020-08-14	22.00	16.00	3.30	2.00	2020-08-13
2020-08-15	30.00	15.00	4.00	11.00	2020-08-14
2020-08-16	36.00	21.00	4.00	6.00	2020-08-15
2020-08-17	33.00	20.00	4.70	8.90	2020-08-16
2020-08-18	32.00	20.00	3.20	1.50	2020-08-17
2020-08-19	30.00	20.00	2.80	3.50	2020-08-18
2020-08-20	29.00	20.00	3.60	1.00	2020-08-19
2020-08-21	25.00	19.00	3.50	1.40	2020-08-20
2020-08-22	22.00	15.00	3.70	3.30	2020-08-21
2020-08-23	25.00	16.00	3.40	1.00	2020-08-22
2020-08-24	25.00	17.00	3.10	0	2020-08-23
2020-08-25	26.00	16.00	2.30	0	2020-08-24
2020-08-26	25.00	17.00	2.90	0	2020-08-25
2020-08-27	20.00	16.00	2.70	0	2020-08-26
2020-08-28	17.00	14.00	2.30	0	2020-08-27
2020-08-29	19.00	14.00	2.70	0	2020-08-28
2020-08-30	20.00	14.00	2.50	0	2020-08-29
2020-08-31	20.00	14.00	2.60	0	2020-08-30
2020-09-01	19.00	14.00	2.70	0	2020-08-31
2020-09-02	20.00	14.00	2.50	1.70	2020-09-01
2020-09-03	20.00	14.00	1.80	4.90	2020-09-02
2020-09-04	20.00	16.00	2.00	2.00	2020-09-03
2020-09-05	19.00	15.00	2.00	13.00	2020-09-04
2020-09-06	22.00	14.00	2.60	12.30	2020-09-05
2020-09-07	33.00	15.00	3.70	0	2020-09-06
2020-09-08	37.00	21.00	4.10	0	2020-09-07
2020-09-09	35.00	19.00	4.30	2.00	2020-09-08
2020-09-10	25.00	16.00	1.70	0	2020-09-09
2020-09-11	17.00	15.00	0.00	2.00	2020-09-10
2020-09-12	19.00	15.00	0.70	6.00	2020-09-11
2020-09-13	22.00	13.00	1.70	2.00	2020-09-12
2020-09-14	25.00	13.00	1.80	1.00	2020-09-13
2020-09-15	19.00	14.00	1.40	0	2020-09-14
2020-09-16	20.00	14.00	1.70	2.20	2020-09-15
2020-09-17	22.00	15.00	2.20	4.40	2020-09-16
2020-09-18	24.00	17.00	2.00	1.00	2020-09-17
2020-09-19	22.00	18.00	2.00	6.50	2020-09-18
2020-09-20	21.00	17.00	2.50	7.40	2020-09-19
2020-09-21	23.00	17.00	2.30	0	2020-09-20
2020-09-22	28.00	14.00	2.50	0	2020-09-21
2020-09-23	22.00	15.00	2.40	0	2020-09-22
2020-09-24	21.00	16.00	2.40	1.70	2020-09-23
2020-09-25	22.00	13.00	2.50	0	2020-09-24
2020-09-26	23.00	17.00	2.50	0	2020-09-25
2020-09-27	20.00	16.00	2.40	0	2020-09-26
2020-09-28	23.00	14.00	2.50	0	2020-09-27
2020-09-29	35.00	15.00	3.20	0	2020-09-28
2020-09-30	34.00	18.00	3.30	1.00	2020-09-29
2020-10-01	22.00	16.00	2.40	0	2020-09-30
2020-10-02	27.00	16.00	2.20	1.70	2020-10-01
2020-10-03	34.00	18.00	2.40	2.20	2020-10-02
2020-10-04	31.00	17.00	2.40	0	2020-10-03
2020-10-05	30.00	15.00	2.60	1.30	2020-10-04
2020-10-06	23.00	14.00	2.40	0	2020-10-05
2020-10-07	24.00	12.00	2.10	7.30	2020-10-06
2020-10-08	22.00	12.00	2.20	5.30	2020-10-07
2020-10-09	17.00	13.00	1.50	0	2020-10-08
2020-10-10	18.00	15.00	1.40	0	2020-10-09
2020-10-11	20.00	15.00	1.40	0	2020-10-10
2020-10-12	21.00	14.00	2.00	0	2020-10-11
2020-10-13	22.00	15.00	2.30	0	2020-10-12
2020-10-14	27.00	13.00	2.30	1.00	2020-10-13
2020-10-15	27.00	14.00	2.30	0	2020-10-14
2020-10-16	28.00	16.00	2.30	0	2020-10-15
2020-10-17	34.00	17.00	3.40	0	2020-10-16
2020-10-18	31.00	19.00	3.50	0	2020-10-17
2020-10-19	32.00	16.00	3.70	0	2020-10-18
2020-10-20	26.00	15.00	3.10	0	2020-10-19
2020-10-21	24.00	14.00	2.10	0	2020-10-20
2020-10-22	26.00	12.00	2.40	0	2020-10-21
2020-10-23	28.00	14.00	2.40	4.00	2020-10-22
2020-10-24	21.00	13.00	1.90	0	2020-10-23
2020-10-25	19.00	12.00	2.00	13.00	2020-10-24
2020-10-26	20.00	12.00	1.40	0	2020-10-25
2020-10-27	22.00	13.00	1.80	0	2020-10-26
2020-10-28	24.00	13.00	3.90	2.00	2020-10-27
2020-10-29	26.00	11.00	3.70	23.00	2020-10-28
2020-10-30	22.00	10.00	2.90	1.40	2020-10-29
2020-10-31	22.00	9.00	1.90	13.00	2020-10-30
2020-11-01	19.00	9.00	1.70	6.30	2020-10-31
2020-11-02	24.00	9.00	1.80	0	2020-11-01
2020-11-03	23.00	10.00	1.80	13.00	2020-11-02
2020-11-04	25.00	11.00	1.90	18.00	2020-11-03
2020-11-05	21.00	10.00	1.80	1.50	2020-11-04
2020-11-06	22.00	10.00	1.70	9.00	2020-11-05
2020-11-07	24.00	12.00	1.90	8.50	2020-11-06
2020-11-08	16.00	11.00	2.10	1.80	2020-11-07
2020-11-09	15.00	9.00	1.60	3.00	2020-11-08
2020-11-10	13.00	5.00	2.30	18.50	2020-11-09
2020-11-11	14.00	3.00	1.80	5.10	2020-11-10
2020-11-12	16.00	4.00	1.70	33.30	2020-11-11
2020-11-13	16.00	9.00	0.90	2.40	2020-11-12
2020-11-14	16.00	6.00	1.40	5.00	2020-11-13
2020-11-15	17.00	7.00	0.90	19.00	2020-11-14
2020-11-16	17.00	8.00	1.10	0	2020-11-15
2020-11-17	17.00	6.00	1.40	5.30	2020-11-16
2020-11-18	20.00	8.00	1.40	19.00	2020-11-17
2020-11-19	18.00	12.00	1.20	20.50	2020-11-18
2020-11-20	18.00	11.00	1.10	0	2020-11-19
2020-11-21	15.00	8.00	1.40	0	2020-11-20
2020-11-22	16.00	6.00	1.60	1.00	2020-11-21
2020-11-23	16.00	6.00	1.30	4.00	2020-11-22
2020-11-24	13.00	4.00	1.30	9.60	2020-11-23
2020-11-25	15.00	8.00	1.00	0	2020-11-24
2020-11-26	18.00	6.00	1.50	7.00	2020-11-25
2020-11-27	15.00	0.00	1.30	5.30	2020-11-26
2020-11-28	18.00	5.00	1.90	24.00	2020-11-27
2020-11-29	17.00	4.00	1.50	3.10	2020-11-28
2020-11-30	15.00	4.00	1.30	0	2020-11-29
2020-12-01	15.00	3.00	1.30	21.00	2020-11-30
2020-12-02	15.00	4.00	1.20	1.30	2020-12-01
2020-12-03	16.00	5.00	0.90	0	2020-12-02
