CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-15 00:00,2715,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-16 00:00,2578,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-17 00:00,2455,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-18 00:00,2340,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-19 00:00,2212,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-20 00:00,2130,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-21 00:00,2108,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-22 00:00,2084,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-23 00:00,1997,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-24 00:00,1879,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-25 00:00,1793,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-26 00:00,1756,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-27 00:00,1667,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-28 00:00,1564,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-29 00:00,1466,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-30 00:00,1398,50,,900
